"speOsNum" "tyyppi" "maakunta" "spe1Rat" "spe2Rat" "spe3Rat" "spe4Rat" "spe5Rat" "spe6Rat" "spe7Rat" "spe8Rat" "spe9Rat" "spe10Rat" "spe11Rat" "spe12Rat" "spe13Rat" "spe14Rat" "spe15Rat" "spe16Rat" "spe17Rat" "spe18Rat" "spe19Rat" "spe20Rat" "spe21Rat" "spe22Rat" "spe23Rat" "spe24Rat" "spe25Rat" "spe26Rat" "spe27Rat" "spe28Rat" "spe29Rat" "spe30Rat" "spe31Rat"
"39" 22 "MetsaVart" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0555555555555555 0 0 0 0 0 0 0 0 0
"40" 26 "MetsaVart" 0 0 0.0155649244849267 0 0 0 0 0 0.0137639461949784 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.130626555319201 0 0.00917596412998562 0 0 0
"41" 27 "MetsaVart" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.47127914951989 0 0 0 0
"42" 29 "MetsaVart" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0277777777777777 0 0
"43" 1 "MetsaHarvaTaimikko" 1 0.0778681503711844 0.00624459213745221 0.000541897639431014 0.00157899223484555 0.00182890453307968 0 0 0 0 0 0 0 0 0 0 0 0 0.000975415750975826 0 0 0 0 0 0 0 0 0 0 0 0 0
"44" 2 "MetsaHarvaTaimikko" 1 0.00107333147987511 0.0851624924898098 0.0022101532196384 0.00336220435242117 0.00381285775429588 0.0020916449589752 0 0.00290468704669298 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000473604261351085 0 0
"45" 3 "MetsaHarvaTaimikko" 1 0 0 0.0921262450153218 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"46" 4 "MetsaHarvaTaimikko" 1 0 0.00141123227175678 0.0063863377315099 0.142445349200026 0.00156803585750753 0.00510695174442061 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"47" 5 "MetsaHarvaTaimikko" 1 0 0 0 0 0.180695339758407 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"48" 6 "MetsaHarvaTaimikko" 1 0 0 0 0 0 0.0499999999999999 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"49" 7 "MetsaHarvaTaimikko" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"50" 8 "MetsaHarvaTaimikko" 1 0 0 0 0 0.0249999999999999 0 0 0.0833333333333335 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"51" 9 "MetsaHarvaTaimikko" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"52" 27 "MetsaHarvaTaimikko" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.222222222222222 0 0 0 0
"53" 28 "MetsaHarvaTaimikko" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.208888888888889 0 0 0
"54" 29 "MetsaHarvaTaimikko" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"55" 30 "MetsaHarvaTaimikko" 1 0 0.0666666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"56" 1 "MetsaKeskim" 1 0.0909393448734146 0.00323671703403733 0.000366321572167236 0.00199792837906878 7.88843158795238e-05 0.000283983537166286 0 0.000118326473819286 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"57" 2 "MetsaKeskim" 1 0.00267834024172784 0.107881487965098 0.0011843317518625 0.00244636440138936 0.00050755923042421 0 7.61338845636315e-05 0.000470733614856631 8.6271283491204e-05 0 0 0 0 0 0 0 0 0.000697893941833288 0 0 0 0 0 0 0 0 0 8.62712834912039e-05 0 0 0
"58" 3 "MetsaKeskim" 1 0 0 0.0978340798656375 0.0121277249376139 0.00121203137709933 0 0 0.000561886724069325 0.00214850925054821 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"59" 4 "MetsaKeskim" 1 0.000262854328529327 0.00162449990795074 0.00336543744984746 0.11804613599066 0.000775787047356999 0.000481199000046057 0.000515570357192204 0.00045498771399296 0.000297225685675474 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"60" 5 "MetsaKeskim" 1 0 0 0 0 0.0969560868749884 0 0.000985675847510362 0.00260955887595546 0.00828251315793112 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"61" 6 "MetsaKeskim" 1 0 0.000912223251797006 0.00258421960255004 0.0103368784102002 0 0.114157708604051 0.00229708409115559 0.00260635214799145 0.00494321606300719 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00220433305307203 0 0 0
"62" 7 "MetsaKeskim" 1 0 0.00322948651613412 0 0 0 0 0.130385176361175 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"63" 8 "MetsaKeskim" 1 0 0 0 0 0 0.0106723527160978 0 0.0736967834165856 0.00608566208410363 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"64" 9 "MetsaKeskim" 1 0 0 0 0 0.00638334760936646 0 0 0 0.10851690935923 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"65" 14 "MetsaKeskim" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0.266666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"66" 18 "MetsaKeskim" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.200000000000001 0 0 0 0 0 0 0 0 0 0 0 0 0
"67" 28 "MetsaKeskim" 1 0 0 0 0 0 0.00833050360859729 0 0.0147032378429499 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.114585369952685 0 0 0
"68" 1 "MetsaTiheaTaimikko" 1 0.0916494316564796 0.00237203830943264 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"69" 2 "MetsaTiheaTaimikko" 1 0.00425499365302345 0.146353408951262 0.00187750304903776 0.0191793580902855 0 0.00268214721291108 0.00268214721291108 0 0.00536429442582216 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"70" 3 "MetsaTiheaTaimikko" 1 0 0 0.0748790378484912 0.00577481363776194 0 0 0 0.00577481363776195 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"71" 4 "MetsaTiheaTaimikko" 1 0 0.000589736895224141 0.00104087846817503 0.110434757682018 0 0.00319193306566172 0 0.00174626852652973 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"72" 5 "MetsaTiheaTaimikko" 1 0 0 0 0 0.0905953575939792 0 0 0.0168314834470801 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"73" 6 "MetsaTiheaTaimikko" 1 0 0 0 0 0 0.0771119825606199 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"74" 7 "MetsaTiheaTaimikko" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"75" 8 "MetsaTiheaTaimikko" 1 0 0 0 0 0 0.0120484556183857 0 0.153274039675846 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0150605695229821 0 0
"76" 29 "MetsaTiheaTaimikko" 1 0 0 0 0.333333333333333 0 0 0 0.166666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.166666666666667 0 0
"77" 30 "MetsaTiheaTaimikko" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"78" 1 "MetsaVart" 1 0.100373972403011 0.00194391507456353 0.000474235820636118 0.000830406757435378 0.000177895859544504 3.1956766883276e-05 7.22132904440739e-05 4.07357210005802e-05 5.77141292757266e-05 0 2.527290656578e-05 0 0 0 0 0 0 5.01362720007142e-05 0 0 0 0 0 0 0 0 0 2.25613224003214e-05 1.41008265002009e-05 0 0
"79" 2 "MetsaVart" 1 0.000737544124678547 0.105202210799916 0.00031364219010269 0.000712520531852845 0.000439294746776706 0.00011475975330363 0.000210441750295751 0.000127493753985762 0.000223654417266374 0 0 0 0 0 0 0 0 0.000109971954398965 0 0 0 0 0 0 0 0 0 0 0 0 0
"80" 3 "MetsaVart" 1 0.000135478575700167 0.000637309810327085 0.103900029186351 0.00901660279953373 0.00163409753549375 0.0003510135691311 0.000296379679090873 0 0.00159906181493056 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"81" 4 "MetsaVart" 1 0.000162362544440854 0.000784655951552841 0.00304699491401368 0.109888107363182 0.000973018828423215 0.00222801363270214 0.000812175304554807 0.00110908701258863 0.000790536113324179 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"82" 5 "MetsaVart" 1 0.000568986185788237 0.000284493092894118 0.000774055415146819 0.00256470178231736 0.133268389671666 0.000986320615568761 0.000669502478446676 0.00376595144126255 0.00221503478126143 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"83" 6 "MetsaVart" 1 0 0.00235479075027689 0 0 0 0.105514402912266 0 0 0.00442101599263011 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00186397875026993 0 0.00274158324105189 0
"84" 7 "MetsaVart" 1 0 0 0.00146206960937534 0 0.00161398153063638 0.00150241125819279 0.160742039860334 0.00545448938591596 0.00161888745456099 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00182214584896748 0.000509949548186713 0 0
"85" 8 "MetsaVart" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"86" 9 "MetsaVart" 1 0 0 0 0.00533836208756592 0 0 0 0 0.160864386199514 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"87" 14 "MetsaVart" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0.336043799569252 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"88" 24 "MetsaVart" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"89" 27 "MetsaVart" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.146860360624974 0 0 0 0
"90" 28 "MetsaVart" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"91" 29 "MetsaVart" 1 0 0 0 0 0 0 0 0 0.015625 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.14581367894436 0 0
"92" 1 "MetsaHarvaTaimikko" 2 0.0776941525450472 0.000965634762851462 0.000397614314115308 0.00159045725646123 0 0.000397614314115307 0 0 0.000397614314115309 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"93" 2 "MetsaHarvaTaimikko" 2 0.00149812734082397 0.138906723738184 0 0.00224719101123596 0.00399500624219725 0 0 0.00316271327507282 0.00224719101123596 0 0 0 0 0.00124843945068664 0 0 0 0.00158135663753641 0 0 0 0 0 0 0 0 0 0 0 0 0
"94" 3 "MetsaHarvaTaimikko" 2 0.0010989010989011 0 0.125457875457875 0.0010989010989011 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"95" 4 "MetsaHarvaTaimikko" 2 0.0015748031496063 0 0.00314960629921259 0.115398075240595 0 0 0 0 0.0031496062992126 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"96" 5 "MetsaHarvaTaimikko" 2 0 0 0 0 0.406349206349206 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"97" 6 "MetsaHarvaTaimikko" 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"98" 7 "MetsaHarvaTaimikko" 2 0 0 0 0 0 0 0.04 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"99" 8 "MetsaHarvaTaimikko" 2 0 0 0 0 0 0 0 0.0964285714285714 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0714285714285714 0 0 0
"100" 9 "MetsaHarvaTaimikko" 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"101" 14 "MetsaHarvaTaimikko" 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"102" 30 "MetsaHarvaTaimikko" 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
